"hh_number","hh_size_1","hh_size_2","hh_size_3","hh_size_4","hh_size_5","hh_size_6","hh_size_7"
254,1,1,3,4,3,4,1
255,1,1,1,3,3,1,7
256,1,1,1,4,1,3,7
257,1,2,1,3,2,4,1
258,1,1,2,2,1,6,6
259,1,1,3,4,3,4,6
260,1,1,3,1,4,4,7
261,1,2,1,2,3,6,1
262,1,2,1,1,4,5,3
263,1,1,1,2,2,3,1
264,1,2,3,4,2,2,5
265,1,2,1,4,1,2,5
266,1,2,3,3,2,2,1
267,1,1,3,1,2,2,2
268,1,2,2,2,3,3,7
269,1,2,1,3,5,2,1
270,1,1,2,1,5,6,7
271,1,1,3,1,5,1,2
272,1,2,2,2,5,3,4
273,1,1,3,3,5,3,7
274,1,2,1,4,5,3,5
275,1,2,1,2,1,6,1
276,1,2,2,1,2,3,5
277,1,2,1,4,4,3,1
278,1,2,3,3,3,5,3
279,1,2,2,1,1,2,4
280,1,2,2,2,5,1,4
281,1,2,3,2,4,4,2
282,1,2,3,4,4,5,3
283,1,2,3,2,5,4,6
284,1,1,2,3,2,3,7
285,1,2,2,3,3,4,7
286,1,2,2,4,3,3,7
287,1,1,3,2,5,4,4
288,1,2,2,1,4,2,3
289,1,2,3,2,4,2,5
290,1,2,3,2,1,2,3
291,1,1,2,1,2,2,6
292,1,1,2,3,3,5,1
293,1,2,1,2,2,2,4
294,1,1,1,2,5,1,4
295,1,1,1,4,3,6,1
296,1,2,2,3,1,2,5
297,1,1,2,4,2,6,4
298,1,1,3,2,2,1,4
299,1,1,1,4,2,3,3
300,1,1,2,1,5,2,2
301,1,2,2,2,2,1,1
302,1,1,3,2,3,4,2
303,1,1,3,1,4,3,4
304,1,2,1,2,4,4,1
305,1,1,3,1,3,2,6
306,1,2,2,4,1,4,6
307,1,1,2,1,2,6,3
308,1,1,3,2,3,3,2
309,1,1,2,4,2,5,3
310,1,2,1,2,4,3,7
311,1,2,2,1,1,3,3
312,1,1,1,4,1,5,3
313,1,1,1,3,2,6,7
314,1,2,1,2,1,4,2
315,1,2,2,3,5,3,3
316,1,1,3,2,4,3,4
317,1,1,3,4,1,4,2
318,1,1,2,2,5,3,1
319,1,2,2,1,1,3,3
320,1,2,2,3,4,6,7
321,1,1,3,2,1,1,7
322,1,2,1,2,3,5,6
323,1,1,1,3,5,5,7
324,1,2,3,4,5,6,7
325,1,2,3,2,5,2,1
326,1,2,2,4,5,6,4
327,1,1,3,4,1,4,3
328,1,2,1,1,1,5,3
329,1,2,2,1,4,2,5
330,1,1,3,2,4,4,3
331,1,2,1,2,1,1,7
332,1,2,2,3,1,1,3
333,1,2,1,1,5,6,7
334,1,2,1,3,3,1,5
335,1,1,2,4,4,5,2
336,1,2,2,2,4,2,2
337,1,2,1,2,3,4,7
338,1,1,3,3,3,4,1
339,1,1,2,1,4,1,4
340,1,1,2,3,2,5,5
341,1,2,1,2,5,3,7
342,1,1,3,3,1,1,6
343,1,1,2,4,1,2,2
344,1,1,3,2,5,2,6
345,1,1,2,1,4,6,3
346,1,1,1,2,2,5,6
347,1,2,2,1,5,3,7
348,1,1,2,1,5,6,7
349,1,1,3,1,3,3,4
350,1,1,1,1,4,1,5
351,1,2,3,3,2,4,4
352,1,2,1,3,2,4,6
353,1,1,3,4,5,1,2
354,1,2,3,4,4,4,1
355,1,1,1,4,1,1,6
356,1,2,1,2,2,5,6
357,1,2,1,4,3,5,7
358,1,2,2,3,3,2,2
359,1,1,1,4,2,4,1
360,1,2,1,3,2,3,3
361,1,1,3,4,5,4,7
362,1,1,3,2,3,6,7
363,1,1,2,4,2,5,6
364,1,2,3,1,3,4,5
365,1,1,2,4,5,5,7
366,1,1,2,1,5,3,7
367,1,2,2,4,5,5,2
368,1,2,1,1,5,1,3
369,1,2,1,3,4,2,7
370,1,2,1,1,4,4,2
371,1,1,1,4,5,2,1
372,1,1,3,3,4,1,4
373,1,1,1,3,2,3,3
374,1,1,3,1,4,4,5
375,1,1,3,2,1,1,1
376,1,1,2,3,3,3,7
377,1,2,2,1,3,3,2
378,1,2,2,1,3,4,1
379,1,1,2,2,2,6,6
380,1,1,1,1,4,4,6
381,1,1,3,4,2,1,6
382,1,1,1,2,5,2,5
383,1,2,3,1,1,4,7
384,1,1,2,3,5,5,3
385,1,1,3,2,5,2,4
386,1,1,3,4,4,5,3
387,1,2,3,4,5,1,7
388,1,2,2,2,2,6,3
389,1,1,1,3,5,6,5
390,1,2,2,3,2,5,1
391,1,1,3,1,4,4,5
392,1,1,2,4,2,3,2
393,1,2,1,1,4,1,3
394,1,1,3,3,5,6,4
395,1,1,2,2,4,5,2
396,1,1,3,3,5,3,1
397,1,1,3,1,4,4,4
398,1,1,1,3,5,1,7
399,1,2,1,1,1,5,6
400,1,2,3,2,5,1,6
401,1,1,3,4,5,6,1
402,1,1,2,3,5,6,4
403,1,1,2,2,1,6,6
404,1,1,2,4,4,1,7
405,1,1,2,4,2,2,5
406,1,1,1,3,3,6,2
407,1,1,2,2,2,2,7
408,1,1,1,3,3,5,1
409,1,1,3,1,3,5,2
410,1,1,1,2,1,6,2
411,1,2,1,1,3,6,3
412,1,1,1,3,2,6,3
413,1,1,2,3,4,4,7
414,1,2,3,3,1,6,7
415,1,2,1,1,1,1,5
416,1,2,2,4,1,4,3
417,1,1,1,1,3,3,1
418,1,1,2,2,2,5,5
419,1,1,2,2,3,3,3
420,1,1,2,1,1,3,5
421,1,1,1,4,2,5,1
422,1,2,3,2,5,4,1
423,1,2,2,1,4,6,1
424,1,1,2,1,2,2,5
425,1,1,2,1,2,5,6
426,1,1,1,4,2,1,4
427,1,2,3,3,3,5,4
428,1,1,2,4,5,5,6
429,1,1,1,4,4,1,7
430,1,2,3,3,5,1,6
431,1,2,1,4,3,6,7
432,1,2,3,2,2,4,4
433,1,1,1,4,2,2,3
434,1,2,2,1,4,3,5
435,1,2,2,2,5,2,4
436,1,2,3,4,2,3,6
437,1,2,2,1,3,6,2
438,1,1,2,1,4,5,2
439,1,1,2,3,3,2,4
440,1,1,3,3,2,2,1
441,1,2,3,2,3,1,5
442,1,1,3,2,3,3,5
443,1,2,2,1,2,1,4
444,1,2,3,3,3,6,3
445,1,2,1,1,1,4,1
446,1,1,1,4,5,6,2
447,1,2,1,2,1,6,3
448,1,1,1,2,3,2,2
449,1,2,2,2,5,2,2
450,1,2,2,2,1,5,3
451,1,2,2,1,3,1,1
452,1,1,1,3,3,3,2
453,1,2,3,2,2,6,5
454,1,1,3,2,3,4,5
455,1,2,3,2,3,2,3
456,1,2,1,2,1,3,5
457,1,1,3,2,1,4,4
458,1,2,3,4,5,1,1
459,1,2,3,4,5,5,6
460,1,2,2,3,1,4,2
461,1,2,2,1,2,3,1
462,1,2,3,3,4,4,2
463,1,2,1,3,4,6,3
464,1,1,2,4,1,2,3
465,1,2,2,2,4,2,1
466,1,1,1,3,1,5,7
467,1,2,3,4,2,6,4
468,1,2,3,1,2,5,7
469,1,1,2,2,1,1,7
470,1,1,2,3,3,5,4
471,1,2,3,2,4,3,7
472,1,1,2,3,2,2,1
473,1,2,2,3,4,4,2
474,1,1,1,3,5,4,5
475,1,2,2,1,5,6,5
476,1,2,3,3,4,1,6
477,1,1,1,4,3,1,7
478,1,1,3,2,3,4,5
479,1,1,2,4,4,1,6
480,1,2,1,3,2,6,5
481,1,1,2,4,5,5,2
482,1,1,2,2,2,6,5
483,1,2,3,4,3,5,7
484,1,1,2,4,3,1,3
485,1,2,1,2,4,5,3
486,1,2,3,2,4,6,6
487,1,1,2,1,3,6,6
488,1,2,1,4,2,2,6
489,1,1,1,1,5,3,5
490,1,1,1,4,4,4,7
491,1,1,3,3,3,1,4
492,1,2,3,4,5,1,4
493,1,1,2,4,1,1,4
494,1,2,1,3,5,6,5
495,1,2,1,2,4,3,1
496,1,1,3,1,5,6,7
497,1,1,2,3,4,4,7
498,1,1,2,3,3,2,5
499,1,2,3,1,3,5,5
500,1,1,1,3,5,3,1
501,1,2,3,3,3,2,7
502,1,1,1,1,4,1,3
503,1,2,2,2,4,2,4
504,1,2,3,1,1,2,2
505,1,1,3,3,3,5,3
506,1,1,3,4,1,2,3
507,1,1,3,4,1,6,4
508,1,1,3,4,2,2,7
509,1,2,3,2,3,3,1
510,1,1,3,3,1,1,5
511,1,2,3,3,3,3,5
512,1,2,3,1,4,5,7
513,1,2,1,3,2,4,3
514,1,2,1,1,1,2,7
515,1,1,3,4,4,4,4
516,1,1,2,3,5,2,5
517,1,2,1,4,3,3,1
518,1,1,1,4,5,4,4
519,1,1,1,4,2,1,3
520,1,1,3,1,5,6,4
521,1,1,2,3,1,6,6
522,1,1,2,1,2,1,6
523,1,1,2,3,3,1,6
524,1,2,2,3,3,3,6
525,1,2,3,2,5,3,5
526,1,1,1,3,4,2,6
527,1,1,2,1,1,2,4
528,1,1,1,3,2,5,7
529,1,2,2,2,1,2,4
530,1,2,1,1,1,2,2
531,1,2,1,3,5,3,1
532,1,1,2,4,5,1,1
533,1,2,3,1,5,5,3
534,1,2,1,1,2,3,6
535,1,2,1,3,3,4,4
536,1,1,1,3,3,2,1
537,1,1,2,3,3,3,6
538,1,2,1,2,1,6,4
539,1,2,1,3,5,5,1
540,1,2,1,4,2,4,7
541,1,2,3,1,2,2,7
542,1,1,3,1,5,4,2
543,1,2,1,4,3,6,3
544,1,1,2,3,3,3,3
545,1,2,1,1,4,3,2
546,1,2,1,4,5,2,6
547,1,2,1,2,1,6,4
548,1,2,3,2,5,1,1
549,1,2,3,3,3,2,2
550,1,2,2,4,3,3,3
551,1,2,1,2,4,6,6
552,1,2,2,2,3,4,4
553,1,1,1,3,1,5,5
554,1,1,3,3,4,3,5
555,1,2,2,4,3,2,6
556,1,1,2,1,3,3,7
557,1,1,1,2,5,6,1
558,1,2,1,4,4,5,6
559,1,2,1,1,3,2,7
560,1,1,3,4,4,4,7
561,1,1,2,4,2,2,4
562,1,2,3,2,4,3,4
563,1,1,2,4,4,6,1
564,1,1,1,4,4,3,4
565,1,2,1,2,5,4,4
566,1,2,3,4,2,5,7
567,1,2,2,2,5,6,2
568,1,2,3,1,3,2,6
569,1,2,2,2,5,1,1
570,1,2,2,4,3,2,5
571,1,2,2,1,2,1,5
572,1,2,2,3,3,1,5
573,1,1,1,1,3,6,2
574,1,1,2,2,2,6,3
575,1,1,2,4,2,6,7
576,1,2,3,4,5,4,7
577,1,2,1,1,4,2,1
578,1,1,3,2,5,3,7
579,1,2,1,3,2,2,6
580,1,2,2,4,3,3,5
581,1,2,3,4,1,2,7
582,1,2,3,4,5,6,1
583,1,1,3,3,2,2,3
584,1,2,3,3,3,5,7
585,1,2,1,1,5,5,6
586,1,1,3,1,4,3,6
587,1,1,3,2,5,6,7
588,1,2,1,1,4,4,5
589,1,1,3,2,3,2,2
590,1,1,1,3,3,1,4
591,1,2,1,3,1,4,1
592,1,2,1,3,3,1,2
593,1,2,3,4,3,3,7
594,1,1,1,1,1,2,7
595,1,1,2,2,4,3,3
596,1,2,3,3,2,4,7
597,1,2,3,2,5,3,3
598,1,1,1,1,3,3,7
599,1,1,1,4,2,2,5
600,1,1,2,2,4,3,6
601,1,2,3,1,3,1,6
602,1,2,2,2,3,6,1
603,1,1,3,2,3,3,5
604,1,1,1,2,1,3,3
605,1,2,2,4,5,1,6
606,1,2,2,3,3,1,7
607,1,1,2,3,2,4,7
608,1,1,1,3,2,5,6
609,1,2,2,1,4,2,6
610,1,1,2,3,1,3,1
611,1,2,2,3,5,5,2
612,1,1,3,1,3,4,1
613,1,2,3,4,2,5,7
614,1,2,3,4,4,2,1
615,1,2,1,4,1,4,5
616,1,1,3,2,5,3,4
617,1,2,3,1,1,2,1
618,1,1,2,1,5,2,5
619,1,1,2,1,1,6,3
620,1,2,2,3,2,1,3
621,1,2,3,1,3,5,1
622,1,2,3,2,1,3,4
623,1,2,3,2,5,1,3
624,1,2,3,3,2,2,2
625,1,2,2,3,3,2,2
626,1,1,1,1,2,3,6
627,1,2,3,1,5,5,6
628,1,2,2,1,4,3,3
629,1,2,2,3,4,6,2
630,1,1,3,4,4,3,7
631,1,2,3,2,1,2,2
632,1,1,3,4,4,2,4
633,1,2,1,3,4,6,2
634,1,2,2,2,5,2,5
635,1,2,1,1,3,4,3
636,1,1,2,4,1,3,4
637,1,2,2,2,4,5,1
638,1,2,2,2,5,3,7
639,1,2,2,3,4,1,4
640,1,2,1,1,1,4,2
641,1,2,3,1,5,3,3
642,1,1,2,4,3,2,3
643,1,1,2,3,5,6,4
644,1,2,1,1,5,5,4
645,1,1,3,1,2,4,2
646,1,1,1,3,2,3,6
647,1,1,2,2,5,5,2
648,1,2,1,4,4,6,5
649,1,2,2,2,4,1,6
650,1,1,3,1,5,1,4
651,1,2,2,1,4,3,7
652,1,2,3,4,2,5,5
653,1,1,3,4,2,1,2
654,1,1,3,3,5,5,2
655,1,1,1,3,5,1,1
656,1,2,2,3,2,6,2
657,1,1,2,1,2,6,4
658,1,2,1,3,1,1,2
659,1,2,2,1,4,4,1
660,1,2,3,4,3,2,3
661,1,2,2,4,3,4,1
662,1,2,3,2,4,2,7
663,1,2,3,2,2,3,5
664,1,2,3,4,3,5,3
665,1,2,1,1,2,4,2
666,1,2,3,2,1,2,6
667,1,2,2,3,1,4,3
668,1,2,3,4,2,4,6
669,1,2,2,4,4,4,4
670,1,2,3,1,1,1,1
671,1,1,2,3,5,2,6
672,1,2,1,2,3,3,2
673,1,1,2,2,3,5,3
674,1,1,1,1,4,5,4
675,1,1,2,2,3,4,1
676,1,2,2,3,3,2,5
677,1,1,2,3,4,1,3
678,1,1,2,1,3,3,4
679,1,2,3,1,4,4,5
680,1,2,2,2,2,2,2
681,1,1,3,1,1,6,5
682,1,2,2,4,2,1,2
683,1,2,3,2,2,2,6
684,1,1,2,4,4,5,6
685,1,1,3,3,2,5,1
686,1,1,1,4,1,2,3
687,1,1,2,1,1,5,5
688,1,2,2,4,5,6,6
689,1,1,1,3,4,3,3
690,1,1,3,1,4,5,2
691,1,2,2,2,1,5,2
692,1,1,1,3,2,2,7
693,1,2,3,2,5,6,2
694,1,2,1,4,4,3,1
695,1,1,3,3,3,2,3
696,1,1,3,1,5,2,4
697,1,2,2,2,2,3,7
698,1,2,1,4,2,5,2
699,1,2,1,2,5,5,5
700,1,2,3,2,2,2,1
701,1,2,1,4,1,5,2
702,1,2,3,4,5,1,2
703,1,2,1,1,1,1,5
704,1,1,1,3,5,4,5
705,1,1,3,1,5,1,5
706,1,2,3,2,5,1,6
707,1,2,3,3,4,4,1
708,1,1,3,3,4,5,4
709,1,1,1,2,3,4,3
710,1,1,3,1,2,2,4
711,1,2,2,4,4,2,2
712,1,2,3,4,2,6,7
713,1,2,2,2,3,6,1
714,1,1,1,1,3,5,2
715,1,2,2,3,2,2,7
716,1,2,2,1,4,4,1
717,1,1,3,1,4,5,4
718,1,2,2,4,4,6,7
719,1,1,3,2,3,2,2
720,1,1,3,4,4,1,6
721,1,2,2,4,2,2,6
722,1,1,1,4,5,1,6
723,1,2,3,1,1,3,7
724,1,1,3,2,4,2,7
725,1,2,1,3,3,1,3
726,1,2,3,1,1,1,1
727,1,2,1,3,5,1,1
728,1,1,2,1,3,5,1
729,1,1,1,2,4,5,5
730,1,2,2,4,1,6,7
731,1,1,1,2,2,2,7
732,1,2,1,2,5,3,7
733,1,2,2,2,2,1,2
734,1,1,3,1,2,6,7
735,1,2,2,2,4,1,1
736,1,1,2,3,5,6,6
737,1,1,2,1,5,2,2
738,1,1,2,1,3,3,1
739,1,1,3,2,1,4,7
740,1,2,2,4,5,1,3
741,1,2,1,1,1,6,2
742,1,1,2,3,5,4,2
743,1,2,1,3,2,6,6
744,1,1,3,3,3,1,4
745,1,2,2,3,1,3,5
746,1,2,1,3,1,2,6
747,1,1,2,4,1,3,6
748,1,2,2,3,2,2,3
749,1,1,2,2,1,1,5
750,1,2,1,1,4,1,6
751,1,1,2,1,3,6,2
752,1,1,3,4,1,2,5
753,1,1,3,2,4,2,6
754,1,1,1,1,4,6,6
755,1,1,2,1,4,3,4
756,1,1,3,4,3,3,3
757,1,2,1,4,2,1,7
758,1,2,3,2,5,4,7
759,1,2,1,3,3,3,1
760,1,1,3,2,5,3,6
761,1,1,2,1,5,6,5
762,1,1,1,1,2,1,3
763,1,1,2,4,3,6,4
764,1,2,1,1,3,2,1
765,1,1,2,3,3,5,6
766,1,1,1,2,1,6,4
767,1,1,1,2,4,4,6
768,1,2,1,3,2,3,1
769,1,1,3,1,3,4,7
770,1,2,3,4,4,1,2
771,1,2,3,2,5,3,5
772,1,1,3,2,5,4,2
773,1,2,1,4,3,4,7
774,1,1,3,2,3,4,6
775,1,2,3,2,5,3,5
776,1,1,2,2,1,2,3
777,1,2,3,3,5,3,4
778,1,1,3,2,3,4,7
779,1,2,2,3,1,6,2
780,1,1,2,1,5,1,5
781,1,1,3,4,5,6,3
782,1,1,3,1,3,1,6
783,1,2,3,1,1,2,3
784,1,2,2,1,2,3,5
785,1,2,3,3,3,5,6
786,1,1,1,1,4,2,4
787,1,2,3,1,3,1,6
788,1,2,3,4,4,3,3
789,1,1,1,4,2,3,2
790,1,1,2,1,2,6,3
791,1,2,2,4,3,3,5
792,1,2,3,3,4,6,2
793,1,2,3,2,5,2,4
794,1,1,2,4,1,4,4
795,1,1,2,4,3,6,1
796,1,2,3,2,2,5,2
797,1,2,2,3,4,3,5
798,1,2,2,4,2,1,4
799,1,1,1,3,4,4,5
800,1,1,1,3,3,5,2
801,1,1,3,3,1,3,6
802,1,1,2,4,3,1,5
803,1,2,3,1,2,5,1
804,1,1,3,3,1,1,3
805,1,1,1,1,5,4,2
806,1,1,3,1,2,4,2
807,1,2,2,3,4,5,4
808,1,1,3,1,1,2,4
809,1,2,2,3,5,3,4
810,1,1,3,3,3,4,1
811,1,1,2,1,2,5,2
812,1,2,1,1,4,3,7
813,1,1,3,2,5,1,3
814,1,1,3,3,1,5,4
815,1,1,2,1,1,3,5
816,1,1,2,3,4,2,3
817,1,1,2,1,1,3,7
818,1,2,2,2,1,1,1
819,1,1,2,3,5,4,1
820,1,1,1,2,5,5,5
821,1,2,1,3,5,4,5
822,1,2,2,3,2,2,3
823,1,1,1,4,1,4,7
824,1,2,3,2,3,6,3
825,1,2,1,3,5,5,3
826,1,1,2,3,5,6,7
827,1,2,2,3,1,4,6
828,1,2,2,1,5,2,1
829,1,2,2,3,5,4,7
830,1,1,1,2,5,5,1
831,1,1,2,4,2,6,4
832,1,1,2,3,1,1,4
833,1,2,3,3,2,5,4
834,1,1,1,1,2,3,4
835,1,1,2,1,5,6,1
836,1,1,2,1,3,4,2
837,1,2,3,1,4,1,6
838,1,2,2,4,1,4,2
839,1,1,2,2,3,1,5
840,1,1,1,2,5,3,1
841,1,2,1,3,2,2,4
842,1,2,1,3,1,6,3
843,1,1,3,2,3,5,6
844,1,2,2,1,4,3,6
845,1,2,2,3,1,6,4
846,1,1,1,4,5,2,4
847,1,1,3,2,3,4,2
848,1,2,3,1,4,5,2
849,1,2,1,3,2,3,1
850,1,2,3,4,2,6,1
851,1,2,2,4,2,6,4
852,1,1,2,3,1,1,4
853,1,2,1,3,2,4,6
854,1,2,2,3,3,4,7
855,1,2,1,2,4,4,1
856,1,1,3,2,1,5,2
857,1,1,3,2,5,6,1
858,1,2,3,1,5,6,7
859,1,1,2,3,1,5,1
860,1,1,1,2,3,5,2
861,1,1,3,3,4,6,1
862,1,1,2,4,1,1,4
863,1,2,2,4,1,5,5
864,1,1,2,2,1,2,3
865,1,1,1,2,1,3,1
866,1,2,1,4,5,5,5
867,1,2,1,4,5,4,5
868,1,1,2,1,3,3,4
